stockid,stocklong,scientificname,areaid,region,Bram,Uram,Country,FAO English,code,n.fmi,fmi0,n.fmi.bsta,n.fmi.usta,fmi.bsta,fmi.usta,country?,fmi,research,management,enforcement,science,R_LAN,R_AGE,R_SUR,R_ASS,M_FMP,M_LFP,M_AFP,E_ENF,E_HAB,E_BYC,S_ACC,S_INV,S_SUB
HERRIsum,Herring Iceland (Summer spawners),Clupea harengus,multinational-ICES-Va,Europe non EU,1.431683333,1.160891941,Iceland,Atlantic herring,Iceland|Atlantic herring,5,0.939371659,5,5,0.6,1,Iceland|Atlantic herring,0.939371659,0.97826087,0.955555556,0.936170213,0.8875,1,0.966666667,0.928571429,1,0.966666667,0.9,1,0.95,0.875,0.966666667,1,0.766666667,0.9
GOLDREDV-VI-XII-XIV,Golden Redfish V-VI-XII-XIV,Sebastes norvegicus,multinational-ICES-V-VI-XII-XIV,European Union,1.612727273,0.989690722,Iceland,Golden redfish,Iceland|Golden redfish,1,0.975,1,1,1,1,Iceland|Golden redfish,0.975,1,1,0.9,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1
GHALV-VI-XII-XIV,Greenland halibut V-VI-XII-XIV,Reinhardtius hippoglossoides,multinational-ICES-V-VI-XII-XIV,European Union,0.73,1.103,Iceland,Greenland halibut,Iceland|Greenland halibut,1,0.954365079,1,0,0,0,Iceland|Greenland halibut,0.954365079,0.928571429,0.888888889,1,1,1,1,1,0.8,1,0.666666667,1,1,1,1,1,1,1
HADICE,Haddock Iceland,Melanogrammus aeglefinus,multinational-ICES-Va,Europe non EU,1.704924444,0.932075,Iceland,Haddock,Iceland|Haddock,5,0.953819444,5,5,0.6,1,Iceland|Haddock,0.953819444,1,0.977777778,0.95,0.8875,1,1,1,1,1,0.933333333,1,0.95,0.9,1,1,0.766666667,0.9
HADNS-IIIa-VIa,Haddock North Sea and IIIa-VIa,Melanogrammus aeglefinus,multinational-ICES-NS-IIIa-VIa,European Union,1.655113636,0.651351351,Iceland,Haddock,Iceland|Haddock,5,0.953819444,5,5,0.6,1,Iceland|Haddock,0.953819444,1,0.977777778,0.95,0.8875,1,1,1,1,1,0.933333333,1,0.95,0.9,1,1,0.766666667,0.9
LINGVa,Ling Iceland Grounds,Molva molva,multinational-ICES-Va,European Union,4.483745263,1.166666667,Iceland,Ling,Iceland|Ling,,,,,,,Iceland|Ling,,,,,,,,,,,,,,,,,,
POLLIEG,Pollock Iceland Grounds,Pollachius virens,multinational-ICES-Va,Europe non EU,2.211015385,0.678571429,Iceland,Saithe(=Pollock),Iceland|Saithe(=Pollock),5,0.943105159,5,5,0.7,1,Iceland|Saithe(=Pollock),0.943105159,0.957142857,0.977777778,0.95,0.8875,1,0.966666667,0.866666667,0.98,1,0.933333333,1,0.95,0.9,1,1,0.766666667,0.9
POLLNS-VI-IIIa,"Pollock ICES IIIa, VI and North Sea",Pollachius virens,multinational-ICES-IIIa-IV-VI,European Union,1.597073333,0.836111111,Iceland,Saithe(=Pollock),Iceland|Saithe(=Pollock),5,0.943105159,5,5,0.7,1,Iceland|Saithe(=Pollock),0.943105159,0.957142857,0.977777778,0.95,0.8875,1,0.966666667,0.866666667,0.98,1,0.933333333,1,0.95,0.9,1,1,0.766666667,0.9
CUSKVa-XIV,Tusk Va and XIV,Brosme brosme,multinational-ICES-Va-XIV,European Union,,1.1,Iceland,Tusk(=Cusk),Iceland|Tusk(=Cusk),,,,,,,Iceland|Tusk(=Cusk),,,,,,,,,,,,,,,,,,
APOLLNSJ,Walleye pollock Sea of Japan North,Theragra chalcogramma,Japan-FAFRFJ-NSJ,Russia Japan,0.108608752,1.412167568,Japan,Alaska pollock(=Walleye poll.),Japan|Alaska pollock(=Walleye poll.),1,0.790972222,1,1,1,1,Japan|Alaska pollock(=Walleye poll.),0.790972222,1,0.888888889,0.4,0.875,1,1,1,1,1,0.666666667,1,0.5,0.333333333,0.333333333,1,1,0.5
