stockid,stocklong,scientificname,areaid,region,Bram,Uram,Country,FAO English,code,n.fmi,fmi0,n.fmi.bsta,n.fmi.usta,fmi.bsta,fmi.usta,country?,fmi,research,management,enforcement,science,R_LAN,R_AGE,R_SUR,R_ASS,M_FMP,M_LFP,M_AFP,E_ENF,E_HAB,E_BYC,S_ACC,S_INV,S_SUB
JPUFFIMKB,Japanese pufferfish Ise and Mikawa Bay,Takifugu rubripes,Japan-FAFRFJ-IMKB,Russia Japan,0.149603175,1.779885663,Japan,Tiger pufferfish,Japan|Tiger pufferfish,,,,,,,Japan|Tiger pufferfish,,,,,,,,,,,,,,,,,,
JPUFFSOJECSSI,Japanese pufferfish Sea of Japan and East China Sea and Seto Inland sea,Takifugu rubripes,Japan-FAFRFJ-SOJECSSI,Russia Japan,0.737318841,1.311870843,Japan,Tiger pufferfish,Japan|Tiger pufferfish,,,,,,,Japan|Tiger pufferfish,,,,,,,,,,,,,,,,,,
WLFLOUNNPAC,Willowy flounder North Pacific,Tanakius kitaharae,Japan-FAFRFJ-NPAC,Russia Japan,1.043503426,0.571493885,Japan,Willowy flounder,Japan|Willowy flounder,,,,,,,Japan|Willowy flounder,,,,,,,,,,,,,,,,,,
HMACKWA,Horse Mackerel West Africa,Trachurus trachurus,multinational-FAO-WA,West Africa,,2.322580645,Morocco,Atlantic horse mackerel,Morocco|Atlantic horse mackerel,,,,,,,Morocco|Atlantic horse mackerel,,,,,,,,,,,,,,,,,,
CHMACKWA,Cunene Horse Mackerel West Africa,Trachurus trecae,multinational-FAO-WA,West Africa,,2.622641509,Morocco,Cunene horse mackerel,Morocco|Cunene horse mackerel,,,,,,,Morocco|Cunene horse mackerel,,,,,,,,,,,,,,,,,,
SARDWAZC,Sardine West Africa Zone C,Sardina pilchardus,multinational-FAO-Z-C,West Africa,0.679385906,0.72,Morocco,European pilchard(=Sardine),Morocco|European pilchard(=Sardine),1,0.729563492,1,1,1,1,Morocco|European pilchard(=Sardine),0.729563492,0.964285714,0.611111111,0.7,0.642857143,1,0.833333333,1,1,1,0.5,0.333333333,0.5,1,0.666666667,1,0.833333333,0
CMACKWA,Chub Mackerel West Africa,Scomber japonicus,multinational-FAO-WA,West Africa,,1.179104478,Morocco,Pacific chub mackerel,Morocco|Pacific chub mackerel,,,,,,,Morocco|Pacific chub mackerel,,,,,,,,,,,,,,,,,,
RSARDINWA,Round Sardinella West Africa,Sardinella aurita,multinational-FAO-WA,West Africa,5.789803765,3.269230769,Morocco,Round sardinella,Morocco|Round sardinella,,,,,,,Morocco|Round sardinella,,,,,,,,,,,,,,,,,,
SARDINWA,Sardinella West Africa,Sardinella spp,multinational-FAO-WA,West Africa,0.550162371,3.035714286,Morocco,Sardinellas nei,Morocco|Sardinellas nei,,,,,,,Morocco|Sardinellas nei,,,,,,,,,,,,,,,,,,
AUSSALMONNZ,Australian salmon New Zealand,Arripis trutta,New Zealand-MFish-NZ,New Zealand,1.538461538,0.31,New Zealand,Australian salmon,New Zealand|Australian salmon,1,0.7625,1,1,1,1,New Zealand|Australian salmon,0.7625,0.75,0.5,0.8,1,1,0.666666667,0.333333333,0.9,0.166666667,1,0.5,0.5,1,1,1,1,1
BKCDLFENI,Black cardinalfish East coast of North Island,Epigonus telescopus,New Zealand-MFish-ENI,New Zealand,0.252765054,1.072727273,New Zealand,Black cardinal fish,New Zealand|Black cardinal fish,,,,,,,New Zealand|Black cardinal fish,,,,,,,,,,,,,,,,,,
BLACKOREOPR,Black Oreo Pukaki Rise,Allocyttus niger,New Zealand-MFish-PR,New Zealand,0.814622868,1.533333333,New Zealand,Black oreo,New Zealand|Black oreo,,,,,,,New Zealand|Black oreo,,,,,,,,,,,,,,,,,,
BLACKOREOWECR,Black oreo West end of Chatham Rise,Allocyttus niger,New Zealand-MFish-WECR,New Zealand,0.991723484,0.395275614,New Zealand,Black oreo,New Zealand|Black oreo,,,,,,,New Zealand|Black oreo,,,,,,,,,,,,,,,,,,
HOKIENZ,Hoki Eastern New Zealand,Macruronus novaezelandiae,New Zealand-MFish-ENZ,New Zealand,1.516094271,0.3,New Zealand,Blue grenadier,New Zealand|Blue grenadier,6,0.933425253,6,5,1,1,New Zealand|Blue grenadier,0.933425253,0.988095238,0.898148148,0.847457627,1,1,1,0.944444444,1,0.972222222,0.888888889,0.833333333,0.9375,0.794117647,0.777777778,1,1,1
HOKIWNZ,Hoki Western New Zealand,Macruronus novaezelandiae,New Zealand-MFish-WNZ,New Zealand,1.094686861,0.616,New Zealand,Blue grenadier,New Zealand|Blue grenadier,6,0.933425253,6,5,1,1,New Zealand|Blue grenadier,0.933425253,0.988095238,0.898148148,0.847457627,1,1,1,0.944444444,1,0.972222222,0.888888889,0.833333333,0.9375,0.794117647,0.777777778,1,1,1
BNSNZ,Bluenose New Zealand,Hyperoglyphe antarctica,New Zealand-MFish-NZ,New Zealand,0.408073035,2.507131258,New Zealand,Bluenose warehou,New Zealand|Bluenose warehou,,,,,,,New Zealand|Bluenose warehou,,,,,,,,,,,,,,,,,,
DOYSFS,Dredge oyster Foveax Strait,Ostrea chilensis,New Zealand-MFish-FS,New Zealand,0.9,,New Zealand,Chilean flat oyster,New Zealand|Chilean flat oyster,,,,,,,New Zealand|Chilean flat oyster,,,,,,,,,,,,,,,,,,
GSTRGZRSTA7,Giant stargazer NZ Area STA7,Kathetostoma giganteum,New Zealand-MFish-STA7,New Zealand,1.43,1.097735522,New Zealand,Giant stargazer,New Zealand|Giant stargazer,,,,,,,New Zealand|Giant stargazer,,,,,,,,,,,,,,,,,,
SCMPBP,Scampi Bay of Plenty,Metanephrops challengeri,New Zealand-MFish-BOP,New Zealand,1.810002092,0.171904341,New Zealand,New Zealand lobster,New Zealand|New Zealand lobster,,,,,,,New Zealand|New Zealand lobster,,,,,,,,,,,,,,,,,,
SCMPMB,Scampi Mernoo Bank,Metanephrops challengeri,New Zealand-MFish-MB,New Zealand,1.271510516,,New Zealand,New Zealand lobster,New Zealand|New Zealand lobster,,,,,,,New Zealand|New Zealand lobster,,,,,,,,,,,,,,,,,,
SCMPWHB,Scampi Wairapa/Hawke Bay,Metanephrops challengeri,New Zealand-MFish-WHB,New Zealand,1.510885886,0.139174933,New Zealand,New Zealand lobster,New Zealand|New Zealand lobster,,,,,,,New Zealand|New Zealand lobster,,,,,,,,,,,,,,,,,,
OROUGHYESCR,Orange roughy East and South Chatham Rise,Hoplostethus atlanticus,New Zealand-MFish-ESCR,New Zealand,0.85,0.446149274,New Zealand,Orange roughy,New Zealand|Orange roughy,,,,,,,New Zealand|Orange roughy,,,,,,,,,,,,,,,,,,
OROUGHYNWCR,Orange roughy Northwest Chatham Rise,Hoplostethus atlanticus,New Zealand-MFish-NWCR,New Zealand,1.04,0.06,New Zealand,Orange roughy,New Zealand|Orange roughy,,,,,,,New Zealand|Orange roughy,,,,,,,,,,,,,,,,,,
OROUGHYNZ7A,Orange roughy New Zealand Challenger Plateau,Hoplostethus atlanticus,New Zealand-MFish-NZ7A,New Zealand,1.15,0.21,New Zealand,Orange roughy,New Zealand|Orange roughy,,,,,,,New Zealand|Orange roughy,,,,,,,,,,,,,,,,,,
OROUGHYNZMEC,Orange roughy New Zealand Mid East Coast,Hoplostethus atlanticus,New Zealand-MFish-NZMEC,New Zealand,0.4,1.095508962,New Zealand,Orange roughy,New Zealand|Orange roughy,,,,,,,New Zealand|Orange roughy,,,,,,,,,,,,,,,,,,
NZLINGLIN3-4,New Zealand ling New Zealand Areas LIN 3 and 4,Genypterus blacodes,New Zealand-MFish-LIN3-4,New Zealand,1.40775917,0.064614854,New Zealand,Pink cusk-eel,New Zealand|Pink cusk-eel,5,0.904340768,5,4,1,0.875,New Zealand|Pink cusk-eel,0.904340768,0.992857143,0.863636364,0.760869565,1,1,1,0.966666667,1,0.928571429,0.866666667,0.8,0.95,0.642857143,0.583333333,1,1,1
NZLINGLIN5-6,New Zealand ling New Zealand Areas LIN 5 and 6,Genypterus blacodes,New Zealand-MFish-LIN5-6,New Zealand,2.229034064,0.108828281,New Zealand,Pink cusk-eel,New Zealand|Pink cusk-eel,5,0.904340768,5,4,1,0.875,New Zealand|Pink cusk-eel,0.904340768,0.992857143,0.863636364,0.760869565,1,1,1,0.966666667,1,0.928571429,0.866666667,0.8,0.95,0.642857143,0.583333333,1,1,1
NZLINGLIN6b,New Zealand ling New Zealand Area LIN 6b,Genypterus blacodes,New Zealand-MFish-LIN6b,New Zealand,2.186391066,0.222002728,New Zealand,Pink cusk-eel,New Zealand|Pink cusk-eel,5,0.904340768,5,4,1,0.875,New Zealand|Pink cusk-eel,0.904340768,0.992857143,0.863636364,0.760869565,1,1,1,0.966666667,1,0.928571429,0.866666667,0.8,0.95,0.642857143,0.583333333,1,1,1
NZLINGLIN72,New Zealand ling New Zealand Area LIN 72,Genypterus blacodes,New Zealand-MFish-LIN72,New Zealand,1.168722942,0.107483374,New Zealand,Pink cusk-eel,New Zealand|Pink cusk-eel,5,0.904340768,5,4,1,0.875,New Zealand|Pink cusk-eel,0.904340768,0.992857143,0.863636364,0.760869565,1,1,1,0.966666667,1,0.928571429,0.866666667,0.8,0.95,0.642857143,0.583333333,1,1,1
NZLINGLIN7WC,New Zealand ling New Zealand Area LIN 7WC - WCSI,Genypterus blacodes,New Zealand-MFish-LIN7WC-WCSI,New Zealand,1.564535407,0.291658902,New Zealand,Pink cusk-eel,New Zealand|Pink cusk-eel,5,0.904340768,5,4,1,0.875,New Zealand|Pink cusk-eel,0.904340768,0.992857143,0.863636364,0.760869565,1,1,1,0.966666667,1,0.928571429,0.866666667,0.8,0.95,0.642857143,0.583333333,1,1,1
PAUANPAU5A,Black Foot Paua NZ North PAUA5A,Haliotis iris,New Zealand-MFish-NPAU5A,New Zealand,1.162227603,0.4,New Zealand,Rainbow abalone,New Zealand|Rainbow abalone,,,,,,,New Zealand|Rainbow abalone,,,,,,,,,,,,,,,,,,
PAUAPAU5B,New Zealand abalone species New Zealand Area PAU 5B,Haliotis iris,New Zealand-MFish-PAU5B,New Zealand,1.180926916,0.29,New Zealand,Rainbow abalone,New Zealand|Rainbow abalone,,,,,,,New Zealand|Rainbow abalone,,,,,,,,,,,,,,,,,,
PAUAPAU5D,New Zealand abalone species New Zealand Area PAU 5D,Haliotis iris,New Zealand-MFish-PAU5D,New Zealand,0.869803063,0.8,New Zealand,Rainbow abalone,New Zealand|Rainbow abalone,,,,,,,New Zealand|Rainbow abalone,,,,,,,,,,,,,,,,,,
PAUAPAU7,New Zealand abalone species New Zealand Area PAU 7,Haliotis iris,New Zealand-MFish-PAU7,New Zealand,0.454439525,1.23,New Zealand,Rainbow abalone,New Zealand|Rainbow abalone,,,,,,,New Zealand|Rainbow abalone,,,,,,,,,,,,,,,,,,
PAUASPAU5A,Black Foot Paua NZ South PAUA5A,Haliotis iris,New Zealand-MFish-SPAU5A,New Zealand,1.015568429,0.47,New Zealand,Rainbow abalone,New Zealand|Rainbow abalone,,,,,,,New Zealand|Rainbow abalone,,,,,,,,,,,,,,,,,,
GEMFISHNZ,common gemfish New Zealand,Rexea solandri,New Zealand-MFish-NZ,New Zealand,1.636138207,0.163836169,New Zealand,Silver gemfish,New Zealand|Silver gemfish,,,,,,,New Zealand|Silver gemfish,,,,,,,,,,,,,,,,,,
NZSNAPNZ8,New Zealand snapper New Zealand Area 8,Chrysophrys auratus,New Zealand-MFish-8,New Zealand,0.353074417,3.906412659,New Zealand,Silver seabream,New Zealand|Silver seabream,2,0.784350198,2,2,0,0.25,New Zealand|Silver seabream,0.784350198,0.946428571,0.722222222,0.5,0.96875,0.916666667,1,0.916666667,0.95,0.666666667,0.666666667,0.833333333,0.3125,0.666666667,0.583333333,1,0.916666667,1
NZSNAPNZ1BOP-HAGU,New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,Chrysophrys auratus,New Zealand-MFish-SNA1-BOP-HAGU,New Zealand,0.453954631,,New Zealand,Silver seabream,New Zealand|Silver seabream,2,0.784350198,2,2,0,0.25,New Zealand|Silver seabream,0.784350198,0.946428571,0.722222222,0.5,0.96875,0.916666667,1,0.916666667,0.95,0.666666667,0.666666667,0.833333333,0.3125,0.666666667,0.583333333,1,0.916666667,1
NZSNAPNZ1ENLD,New Zealand snapper New Zealand SNA 1 east Northland,Chrysophrys auratus,New Zealand-MFish-SNA-1-ENLD,New Zealand,0.567028351,,New Zealand,Silver seabream,New Zealand|Silver seabream,2,0.784350198,2,2,0,0.25,New Zealand|Silver seabream,0.784350198,0.946428571,0.722222222,0.5,0.96875,0.916666667,1,0.916666667,0.95,0.666666667,0.666666667,0.833333333,0.3125,0.666666667,0.583333333,1,0.916666667,1
NZSNAPNZ7,New Zealand snapper New Zealand SNA 7,Chrysophrys auratus,New Zealand-MFish-SNA-7,New Zealand,0.729173388,0.919175047,New Zealand,Silver seabream,New Zealand|Silver seabream,2,0.784350198,2,2,0,0.25,New Zealand|Silver seabream,0.784350198,0.946428571,0.722222222,0.5,0.96875,0.916666667,1,0.916666667,0.95,0.666666667,0.666666667,0.833333333,0.3125,0.666666667,0.583333333,1,0.916666667,1
SMOOTHOREOBP,Smooth Oreo Bounty Plateau,Pseudocyttus maculatus,New Zealand-MFish-BP,New Zealand,0.828610064,0.721428571,New Zealand,Smooth oreo dory,New Zealand|Smooth oreo dory,1,0.91468254,1,1,0.5,0.5,New Zealand|Smooth oreo dory,0.91468254,0.964285714,0.944444444,0.75,1,0.833333333,1,1,1,1,0.833333333,1,1,0.666666667,0.5,1,1,1
SMOOTHOREOCR,Smooth oreo Chatham Rise,Pseudocyttus maculatus,New Zealand-MFish-CR,New Zealand,0.721219607,1.55,New Zealand,Smooth oreo dory,New Zealand|Smooth oreo dory,1,0.91468254,1,1,0.5,0.5,New Zealand|Smooth oreo dory,0.91468254,0.964285714,0.944444444,0.75,1,0.833333333,1,1,1,1,0.833333333,1,1,0.666666667,0.5,1,1,1
SMOOTHOREOEPR,Smooth Oreo East Pukaki Rise,Pseudocyttus maculatus,New Zealand-MFish-EPR,New Zealand,0.888,1.975,New Zealand,Smooth oreo dory,New Zealand|Smooth oreo dory,1,0.91468254,1,1,0.5,0.5,New Zealand|Smooth oreo dory,0.91468254,0.964285714,0.944444444,0.75,1,0.833333333,1,1,1,1,0.833333333,1,1,0.666666667,0.5,1,1,1
SMOOTHOREOSLD,Smooth Oreo Southland,Pseudocyttus maculatus,New Zealand-MFish-SLD,New Zealand,0.793,0.778587353,New Zealand,Smooth oreo dory,New Zealand|Smooth oreo dory,1,0.91468254,1,1,0.5,0.5,New Zealand|Smooth oreo dory,0.91468254,0.964285714,0.944444444,0.75,1,0.833333333,1,1,1,1,0.833333333,1,1,0.666666667,0.5,1,1,1
SMOOTHOREOWECR,Smooth oreo West end of Chatham Rise,Pseudocyttus maculatus,New Zealand-MFish-WECR,New Zealand,0.883006422,0.1875,New Zealand,Smooth oreo dory,New Zealand|Smooth oreo dory,1,0.91468254,1,1,0.5,0.5,New Zealand|Smooth oreo dory,0.91468254,0.964285714,0.944444444,0.75,1,0.833333333,1,1,1,1,0.833333333,1,1,0.666666667,0.5,1,1,1
SBWHITACIR,Southern blue whiting Campbell Island Rise,Micromesistius australis,New Zealand-MFish-CIR,New Zealand,1.455798684,,New Zealand,Southern blue whiting,New Zealand|Southern blue whiting,6,0.941432245,6,5,1,1,New Zealand|Southern blue whiting,0.941432245,0.970238095,0.905660377,0.889830508,1,1,1,0.888888889,0.983333333,0.941176471,0.944444444,0.833333333,0.9375,0.794117647,0.916666667,1,1,1
SOUTHHAKECR,Southern hake Chatham Rise,Merluccius australis,New Zealand-MFish-CR,New Zealand,1.233824857,0.031360775,New Zealand,Southern hake,New Zealand|Southern hake,2,0.862132353,2,2,1,1,New Zealand|Southern hake,0.862132353,1,0.823529412,0.625,1,1,1,1,1,0.8,0.833333333,0.833333333,0.9375,0.333333333,0.5,1,1,1
SOUTHHAKESA,Southern hake Sub-Antarctic,Merluccius australis,New Zealand-MFish-SA,New Zealand,1.435532932,0.22,New Zealand,Southern hake,New Zealand|Southern hake,2,0.862132353,2,2,1,1,New Zealand|Southern hake,0.862132353,1,0.823529412,0.625,1,1,1,1,1,0.8,0.833333333,0.833333333,0.9375,0.333333333,0.5,1,1,1
SOUTHHAKEWCSI,Southern hake West Coast South Island,Merluccius australis,New Zealand-MFish-WCSI,New Zealand,1.402638477,0.16,New Zealand,Southern hake,New Zealand|Southern hake,2,0.862132353,2,2,1,1,New Zealand|Southern hake,0.862132353,1,0.823529412,0.625,1,1,1,1,1,0.8,0.833333333,0.833333333,0.9375,0.333333333,0.5,1,1,1
TARAKNZ,Tarakihi New Zealand,Nemadactylus macropterus,New Zealand-MFish-SA,New Zealand,2.22,0.63153548,New Zealand,Tarakihi,New Zealand|Tarakihi,2,0.705,2,1,0.75,0,New Zealand|Tarakihi,0.705,0.92,0.5,0.4,1,1,1,0.916666667,0.85,0.416666667,0.416666667,0.666666667,0.625,0.25,0.25,1,1,1
TREVALLYTRE7,Trevally New Zealand Areas TRE 7,Pseudocaranx dentex,New Zealand-MFish-TRE7,New Zealand,1.286986884,0.653918209,New Zealand,White trevally,New Zealand|White trevally,,,,,,,New Zealand|White trevally,,,,,,,,,,,,,,,,,,
CODNEARNCW,Atlantic cod Northeast Arctic (Norwegian coastal waters),Gadus morhua,multinational-ICES-I-II-NCW,Europe non EU,0.279383333,3.308,Norway,Atlantic cod,Norway|Atlantic cod,8,0.921013145,8,8,0.8125,0.875,Norway|Atlantic cod,0.921013145,0.982142857,0.972222222,0.83125,0.8984375,0.958333333,1,0.958333333,1,0.979166667,0.9375,1,0.75,0.8125,0.958333333,0.875,0.979166667,0.8125
HERRNORSS,Norwegian Spring Spawning Herring,Clupea harengus,multinational-ICES-I-II-IVa-V-XIVa,Europe non EU,0.7892,0.88061732,Norway,Atlantic herring,Norway|Atlantic herring,8,0.920502754,8,8,0.6875,0.875,Norway|Atlantic herring,0.920502754,0.955357143,0.986111111,0.842105263,0.8984375,0.958333333,1,0.833333333,1,1,0.958333333,1,0.765625,0.875,0.916666667,0.875,0.979166667,0.8125
HERRNS-IIIa-VIId,"Herring IIIa, VIId and North Sea",Clupea harengus,multinational-ICES-IIIa-IV-VIId,European Union,1.338779333,0.734300176,Norway,Atlantic herring,Norway|Atlantic herring,8,0.920502754,8,8,0.6875,0.875,Norway|Atlantic herring,0.920502754,0.955357143,0.986111111,0.842105263,0.8984375,0.958333333,1,0.833333333,1,1,0.958333333,1,0.765625,0.875,0.916666667,0.875,0.979166667,0.8125
HMACKIIa-IVa-Vb-VIa-VII-VIII,Horse mackerel IIa-IVa-Vb-VIa-VII-VIII,Trachurus trachurus,multinational-ICES-IIa-IVa-Vb-VIa-VII-VIII,European Union,1.140224118,0.957114154,Norway,Atlantic horse mackerel,Norway|Atlantic horse mackerel,2,0.79422123,2,2,0.5,0,Norway|Atlantic horse mackerel,0.79422123,0.892857143,0.527777778,0.85,0.90625,1,0.833333333,0.666666667,1,0.5,0.5,0.583333333,0.8125,1,0.75,0.916666667,1,0.75
MACKNEICES,Mackerel ICES Northeast Atlantic,Scomber scombrus,multinational-ICES-IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa,European Union,,0.868,Norway,Atlantic mackerel,Norway|Atlantic mackerel,6,0.923519887,6,6,1,1,Norway|Atlantic mackerel,0.923519887,0.952380952,0.962962963,0.862068966,0.916666667,0.944444444,1,0.833333333,1,0.972222222,0.916666667,1,0.8125,0.90625,0.888888889,0.944444444,0.972222222,0.791666667
BWHITNEA,Blue Whiting Northeast Atlantic,Micromesistius poutassou,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,European Union,1.608444444,1.426666667,Norway,Blue whiting(=Poutassou),Norway|Blue whiting(=Poutassou),8,0.922369557,8,8,0.875,1,Norway|Blue whiting(=Poutassou),0.922369557,0.95045045,0.986111111,0.846666667,0.90625,0.9375,1,0.833333333,1,1,0.958333333,1,0.765625,0.9,0.913043478,0.875,0.979166667,0.84375
HADNEAR,Haddock Northeast Arctic,Melanogrammus aeglefinus,multinational-ICES-I-II,Europe non EU,9.4185625,0.591428571,Norway,Haddock,Norway|Haddock,8,0.91890501,8,8,1,1,Norway|Haddock,0.91890501,0.959821429,0.986111111,0.83125,0.8984375,0.958333333,1,0.854166667,1,1,0.958333333,1,0.75,0.8125,0.958333333,0.875,0.979166667,0.8125
SEELNSSA1,Sand eel SA 1,Ammodytes marinus,multinational-ICES-SA1,European Union,1.108139535,,Norway,Lesser sand-eel,Norway|Lesser sand-eel,,,,,,,Norway|Lesser sand-eel,,,,,,,,,,,,,,,,,,
SEELNSSA2,Sand eel SA 2,Ammodytes marinus,multinational-ICES-SA2,European Union,0.76,,Norway,Lesser sand-eel,Norway|Lesser sand-eel,,,,,,,Norway|Lesser sand-eel,,,,,,,,,,,,,,,,,,
SEELNSSA3,Sand eel SA 3,Ammodytes marinus,multinational-ICES-SA3,European Union,1.943589744,,Norway,Lesser sand-eel,Norway|Lesser sand-eel,,,,,,,Norway|Lesser sand-eel,,,,,,,,,,,,,,,,,,
PANDALI-II,Northern shrimp North-East Arctic,Pandalus borealis,multinational-ICES-I-II,Europe non EU,,0.06,Norway,Northern prawn,Norway|Northern prawn,4,0.818587662,3,3,1,1,Norway|Northern prawn,0.818587662,0.863636364,0.685714286,0.791666667,0.933333333,0.875,0.791666667,0.875,0.894736842,0.625,0.772727273,0.666666667,0.8125,0.666666667,0.863636364,0.95,0.958333333,0.875
PANDALIIIaW-IVaE,Northern shrimp IIIa (west) and IVa (east),Pandalus borealis,multinational-ICES-IIIaW-IVaE,European Union,1.238585859,1.016129032,Norway,Northern prawn,Norway|Northern prawn,4,0.818587662,3,3,1,1,Norway|Northern prawn,0.818587662,0.863636364,0.685714286,0.791666667,0.933333333,0.875,0.791666667,0.875,0.894736842,0.625,0.772727273,0.666666667,0.8125,0.666666667,0.863636364,0.95,0.958333333,0.875
NPOUTIIIa-IV,Norway pout IIIa and North Sea,Trisopterus esmarkii,multinational-ICES-IIIa-IV,European Union,1.8261,,Norway,Norway pout,Norway|Norway pout,3,0.899895485,2,2,1,1,Norway|Norway pout,0.899895485,0.975,0.846153846,0.865384615,0.913043478,0.944444444,1,0.944444444,1,0.888888889,0.75,0.888888889,0.7,0.944444444,1,0.875,1,0.833333333
SPURDNEATL,Spurdog Northeast Atlantic,Squalus acanthias,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,European Union,0.044229324,0.466141379,Norway,Picked dogfish,Norway|Picked dogfish,,,,,,,Norway|Picked dogfish,,,,,,,,,,,,,,,,,,
POLLNEAR,Pollock Northeast Arctic,Pollachius virens,multinational-ICES-I-II,Europe non EU,1.779109091,0.83125,Norway,Saithe(=Pollock),Norway|Saithe(=Pollock),8,0.931181796,8,8,0.9375,0.9375,Norway|Saithe(=Pollock),0.931181796,0.977678571,0.986111111,0.8625,0.8984375,0.9375,1,0.958333333,1,1,0.958333333,1,0.796875,0.854166667,0.958333333,0.875,0.979166667,0.8125
PANCHPERUNC,Peruvian anchoveta North-Central Peru,Engraulis ringens,Peru-IMARPE-NC,South America,1.466666667,,Peru,Anchoveta(=Peruvian anchovy),Peru|Anchoveta(=Peruvian anchovy),6,0.858325066,6,6,1,0.916666667,Peru|Anchoveta(=Peruvian anchovy),0.858325066,0.982142857,0.990740741,0.741666667,0.71875,1,1,1,0.95,0.972222222,1,1,0.625,0.861111111,0.777777778,0.805555556,0.611111111,0.75
WPOLLNAVAR,Walleye Pollock Navarinsky,Theragra chalcogramma,Russia-RFFA-NAVAR,Russia Japan,1.01910828,1.063829787,Russia,Alaska pollock(=Walleye poll.),Russia|Alaska pollock(=Walleye poll.),4,0.881364624,4,4,1,1,Russia|Alaska pollock(=Walleye poll.),0.881364624,0.973214286,0.857142857,0.851351351,0.84375,0.958333333,1,1,0.95,0.590909091,1,0.958333333,0.84375,0.944444444,0.791666667,0.75,0.833333333,1
WPOLLNSO,Walleye pollock Northern Sea of Okhotsk,Theragra chalcogramma,Russia-RFFA-NSO,Russia Japan,1.376470588,0.356713503,Russia,Alaska pollock(=Walleye poll.),Russia|Alaska pollock(=Walleye poll.),4,0.881364624,4,4,1,1,Russia|Alaska pollock(=Walleye poll.),0.881364624,0.973214286,0.857142857,0.851351351,0.84375,0.958333333,1,1,0.95,0.590909091,1,0.958333333,0.84375,0.944444444,0.791666667,0.75,0.833333333,1
WPOLLWBS,Walleye pollock Western Bering Sea,Theragra chalcogramma,Russia-RFFA-WBS,Russia Japan,1.153489639,0.91199322,Russia,Alaska pollock(=Walleye poll.),Russia|Alaska pollock(=Walleye poll.),4,0.881364624,4,4,1,1,Russia|Alaska pollock(=Walleye poll.),0.881364624,0.973214286,0.857142857,0.851351351,0.84375,0.958333333,1,1,0.95,0.590909091,1,0.958333333,0.84375,0.944444444,0.791666667,0.75,0.833333333,1
CODNEAR,Atlantic cod Northeast Arctic,Gadus morhua,multinational-ICES-I-II,Europe non EU,2.325828261,0.96375,Russia,Atlantic cod,Russia|Atlantic cod,6,0.894219452,6,6,1,1,Russia|Atlantic cod,0.894219452,0.994047619,0.952830189,0.88,0.75,0.972222222,1,1,1,0.852941176,1,1,0.97826087,0.636363636,0.90625,0.638888889,0.833333333,0.8
CTRACSA,Cape horse mackerel South Africa South coast,Trachurus capensis,South Africa-DETMCM-SASC,South Africa,2.48,0.170833333,South Africa,Cape horse mackerel,South Africa|Cape horse mackerel,4,0.897432091,4,4,1,1,South Africa|Cape horse mackerel,0.897432091,0.918181818,0.847222222,0.824324324,1,1,0.708333333,0.958333333,0.973684211,0.791666667,0.916666667,0.833333333,0.78125,0.888888889,0.833333333,1,1,1
CRLOBSTERSA12,West coast rock lobster South Africa Areas 1-2,Jasus lalandii,South Africa-DETMCM-1-2,South Africa,,7.42,South Africa,Cape rock lobster,South Africa|Cape rock lobster,7,0.816974097,7,7,0,0,South Africa|Cape rock lobster,0.816974097,0.93877551,0.928571429,0.507692308,0.892857143,0.928571429,0.80952381,1,0.985714286,0.928571429,0.928571429,0.928571429,0.125,0.69047619,0.9375,0.928571429,0.80952381,0.964285714
CRLOBSTERSA34,West coast rock lobster South Africa Areas 3-4,Jasus lalandii,South Africa-DETMCM-3-4,South Africa,,1.925,South Africa,Cape rock lobster,South Africa|Cape rock lobster,7,0.816974097,7,7,0,0,South Africa|Cape rock lobster,0.816974097,0.93877551,0.928571429,0.507692308,0.892857143,0.928571429,0.80952381,1,0.985714286,0.928571429,0.928571429,0.928571429,0.125,0.69047619,0.9375,0.928571429,0.80952381,0.964285714
CRLOBSTERSA56,West coast rock lobster South Africa Areas 5-6,Jasus lalandii,South Africa-DETMCM-5-6,South Africa,,0.623913043,South Africa,Cape rock lobster,South Africa|Cape rock lobster,7,0.816974097,7,7,0,0,South Africa|Cape rock lobster,0.816974097,0.93877551,0.928571429,0.507692308,0.892857143,0.928571429,0.80952381,1,0.985714286,0.928571429,0.928571429,0.928571429,0.125,0.69047619,0.9375,0.928571429,0.80952381,0.964285714
CRLOBSTERSA7,West coast rock lobster South Africa Area 7,Jasus lalandii,South Africa-DETMCM-7,South Africa,,0.775862069,South Africa,Cape rock lobster,South Africa|Cape rock lobster,7,0.816974097,7,7,0,0,South Africa|Cape rock lobster,0.816974097,0.93877551,0.928571429,0.507692308,0.892857143,0.928571429,0.80952381,1,0.985714286,0.928571429,0.928571429,0.928571429,0.125,0.69047619,0.9375,0.928571429,0.80952381,0.964285714
