Region,Stock,Latin.binomial,fstatus,SAR,FP,SemiId,stockid
North California Current,Petrale sole,Eopsetta jordani,1,0.08,6.9,Petrale sole Eopsetta jordani North California Current,PSOLEPCOAST
Tyrrhenian Sea (GFCM 1.3),Poor cod,Trisopterus minutus,1.2,2.29,49.9,Poor cod Trisopterus minutus Tyrrhenian Sea (GFCM 1.3),PRCODMEDGSA9
Adriatic Sea (GFCM 2.1),Red mullet,Mullus barbatus,1.8,7.93,80.7,Red mullet Mullus barbatus Adriatic Sea (GFCM 2.1),RMULLMEDGSA17-18
Tyrrhenian Sea (GFCM 1.3),Red mullet,Mullus barbatus,8.8,2.29,49.9,Red mullet Mullus barbatus Tyrrhenian Sea (GFCM 1.3),RMULLMEDGSA10
Tyrrhenian Sea (GFCM 1.3),Red mullet,Mullus barbatus,2.7,2.29,49.9,Red mullet Mullus barbatus Tyrrhenian Sea (GFCM 1.3),RMULLMEDGSA9
Tyrrhenian Sea (GFCM 1.3),Red mullet,Mullus barbatus,1.2,2.29,49.9,Red mullet Mullus barbatus Tyrrhenian Sea (GFCM 1.3),RMULLMEDGSA1
North California Current,Rex sole,Glyptocephalus zachirus,0.2,0.08,6.9,Rex sole Glyptocephalus zachirus North California Current,REXSOLEPCOAST
Gulf of Alaska,Rex sole,Glyptocephalus zachirus,1.1,0.02,1.7,Rex sole Glyptocephalus zachirus Gulf of Alaska,REXSOLEGA
Gulf of Alaska,Rock sole,Lepidopsetta bilineata,0.2,0.02,1.7,Rock sole Lepidopsetta bilineata Gulf of Alaska,RSOLEGA
East Bering Sea,Rougheye rockfish,Sebastes aleutianus,0.1,0.09,7.9,Rougheye rockfish Sebastes aleutianus East Bering Sea,REYEROCKBSAI
Gulf of Alaska,Rougheye rockfish,Sebastes aleutianus,0.2,0.02,1.7,Rougheye rockfish Sebastes aleutianus Gulf of Alaska,REYEROCKGA
North California Current,Sablefish,Anoplopoma fimbria,0.9,0.08,6.9,Sablefish Anoplopoma fimbria North California Current,SABLEFPCOAST
South Benguela Current,shallow-water cape hake,Merluccius capensis,0.3,0.44,13.8,shallow-water cape hake Merluccius capensis South Benguela Current,CHAKESA
North California Current,Sharpchin rockfish,Sebastes zacentrus,0,0.08,6.9,Sharpchin rockfish Sebastes zacentrus North California Current,SHCROCKPCOAST
Gulf of Alaska,Shortraker rockfish,Sebastes borealis,0.2,0.02,1.7,Shortraker rockfish Sebastes borealis Gulf of Alaska,SRAKEROCKGA
North California Current,Shortspine thornyhead,Sebastolobus alascanus,0.4,0.08,6.9,Shortspine thornyhead Sebastolobus alascanus North California Current,SSTHORNHPCOAST
Southeast Australian Shelf,Snapper,Chrysophrys auratus,0.6,0.13,8.6,Snapper Chrysophrys auratus Southeast Australian Shelf,SNAPSAUSSGSV
Southwest Australian Shelf,Snapper,Chrysophrys auratus,0.7,0.03,8.6,Snapper Chrysophrys auratus Southwest Australian Shelf,SNAPSAUSNSG
North California Current,Splitnose Rockfish,Sebastes diploproa,0.1,0.08,6.9,Splitnose Rockfish Sebastes diploproa North California Current,SNROCKPCOAST
Adriatic Sea (GFCM 2.1),Spottail mantis shrimp,Squilla mantis,1.4,7.93,80.7,Spottail mantis shrimp Squilla mantis Adriatic Sea (GFCM 2.1),SMSHRMPMEDGSA17
Tyrrhenian Sea (GFCM 1.3),Spottail mantis shrimp,Squilla mantis,2.6,2.29,49.9,Spottail mantis shrimp Squilla mantis Tyrrhenian Sea (GFCM 1.3),SMSHRMPMEDGSA10
Tyrrhenian Sea (GFCM 1.3),Spottail mantis shrimp,Squilla mantis,2.3,2.29,49.9,Spottail mantis shrimp Squilla mantis Tyrrhenian Sea (GFCM 1.3),SMSHRMPMEDGSA9
Tyrrhenian Sea (GFCM 1.3),Surmullet,Mullus surmuletus,2.1,2.29,49.9,Surmullet Mullus surmuletus Tyrrhenian Sea (GFCM 1.3),SMULLMEDGSA9
East Bering Sea,Walleye pollock,Theragra chalcogramma,0.5,0.09,7.9,Walleye pollock Theragra chalcogramma East Bering Sea,WPOLLEBS
Aleutian Islands,Walleye pollock,Theragra chalcogramma,0.1,0.03,2.1,Walleye pollock Theragra chalcogramma Aleutian Islands,WPOLLAI
Gulf of Alaska,Walleye pollock,Theragra chalcogramma,0.6,0.02,1.7,Walleye pollock Theragra chalcogramma Gulf of Alaska,WPOLLGA
North California Current,Widow rockfish,Sebastes entomelas,0,0.08,6.9,Widow rockfish Sebastes entomelas North California Current,WROCKPCOAST
North California Current,Yelloweye rockfish,Sebastes ruberrimus,0.2,0.08,6.9,Yelloweye rockfish Sebastes ruberrimus North California Current,YEYEROCKPCOAST
East Bering Sea,Yellowfin sole,Limanda aspera,0.4,0.09,7.9,Yellowfin sole Limanda aspera East Bering Sea,YSOLEBSAI
North California Current,Yellowtail rockfish,Sebastes flavidus,0.2,0.08,6.9,Yellowtail rockfish Sebastes flavidus North California Current,YTROCKNPCOAST
